S&P 500 Historical Price Data,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
08/05/2009,929.2,909,930.2,909,,2.40%
11/05/2009,909.2,923,923,908.7,,-2.15%
12/05/2009,908.4,910.5,915.6,896.5,,-0.09%
13/05/2009,883.9,905.4,905.4,882.8,,-2.70%
14/05/2009,893.1,884.2,898.4,882.5,,1.04%
15/05/2009,882.9,892.8,897,878.9,,-1.14%
18/05/2009,909.7,886.1,910,886.1,,3.04%
19/05/2009,908.1,909.7,916.4,905.2,,-0.18%
20/05/2009,903.5,908.6,924.6,901.4,,-0.51%
21/05/2009,888.3,900.4,900.4,879.6,,-1.68%
22/05/2009,887,888.7,896.6,883.8,,-0.15%
26/05/2009,910.3,887,911.8,881.5,,2.63%
27/05/2009,893.1,910,913.8,891.9,,-1.89%
28/05/2009,906.8,893,909.5,887.6,,1.53%
29/05/2009,919.1,907,920,903.6,,1.36%
01/06/2009,942.9,923.3,947.8,923.3,,2.59%
02/06/2009,944.7,942.9,949.4,938.5,,0.19%
03/06/2009,931.8,942.5,942.5,923.9,,-1.37%
04/06/2009,942.5,932.5,942.5,929.3,,1.15%
05/06/2009,940.1,945.7,951.7,934.1,,-0.25%
08/06/2009,939.1,938.1,946.3,926.4,,-0.11%
09/06/2009,942.4,940.4,946.9,936.1,,0.35%
10/06/2009,939.1,942.7,949.8,928,,-0.35%
11/06/2009,944.9,939,956.2,939,,0.62%
12/06/2009,946.2,943.4,946.3,935.7,,0.14%
15/06/2009,923.7,942.5,942.5,919.6,,-2.38%
16/06/2009,912,925.6,928,911.6,,-1.27%
17/06/2009,910.7,911.9,918.4,903.8,,-0.14%
18/06/2009,918.4,910.9,921.9,907.9,,0.85%
19/06/2009,921.2,920,927.1,915.8,,0.30%
22/06/2009,893,918.1,918.1,893,,-3.06%
23/06/2009,895.1,893.5,898.7,888.9,,0.24%
24/06/2009,900.9,896.3,910.9,896.3,,0.65%
25/06/2009,920.3,899.5,921.4,896.3,,2.15%
26/06/2009,918.9,918.8,922,913,,-0.15%
29/06/2009,927.2,919.9,928,916.2,,0.90%
30/06/2009,919.3,927.1,930,912.9,,-0.85%
01/07/2009,923.3,920.8,931.9,920.8,,0.44%
02/07/2009,896.4,921.2,921.2,896.4,,-2.91%
06/07/2009,898.7,894.3,898.7,886.4,,0.26%
07/07/2009,881,898.6,898.6,879.9,,-1.97%
08/07/2009,879.6,881.9,886.8,869.3,,-0.16%
09/07/2009,882.7,881.3,887.9,878.5,,0.35%
10/07/2009,879.1,880,883.6,872.8,,-0.41%
13/07/2009,901,879.6,901,875.3,,2.49%
14/07/2009,905.8,900.8,905.8,896.5,,0.53%
15/07/2009,932.7,910.1,934,910.1,,2.97%
16/07/2009,940.7,930.2,944,927.5,,0.86%
17/07/2009,940.4,940.6,941.9,934.6,,-0.03%
20/07/2009,951.1,942.1,951.6,941,,1.14%
21/07/2009,954.6,952,956.5,943.2,,0.37%
22/07/2009,954.1,953.4,959.8,947.8,,-0.05%
23/07/2009,976.3,954.1,979.4,953.3,,2.33%
24/07/2009,979.3,972.2,979.8,966,,0.31%
27/07/2009,982.2,978.6,982.5,972.3,,0.30%
28/07/2009,979.6,981.5,982.4,969.4,,-0.26%
29/07/2009,975.1,977.7,977.8,968.6,,-0.46%
30/07/2009,986.8,976,996.7,976,,1.20%
31/07/2009,987.5,986.8,993.2,982.9,,0.07%
03/08/2009,"1,002.60",990.2,"1,003.60",990.2,,1.53%
04/08/2009,"1,005.60","1,001.40","1,007.10",996.7,,0.30%
05/08/2009,"1,002.70","1,005.40","1,006.60",994.3,,-0.29%
06/08/2009,997.1,"1,004.10","1,008.00",992.5,,-0.56%
07/08/2009,"1,010.50",999.8,"1,018.00",999.8,,1.34%
10/08/2009,"1,007.10","1,008.90","1,010.10","1,001.00",,-0.34%
11/08/2009,994.4,"1,005.80","1,005.80",992.4,,-1.26%
12/08/2009,"1,005.80",994,"1,012.80",993.4,,1.15%
13/08/2009,"1,012.70","1,005.90","1,013.10","1,000.80",,0.69%
14/08/2009,"1,004.10","1,012.20","1,012.60",994.6,,-0.85%
17/08/2009,979.7,998.2,998.2,978.5,,-2.43%
18/08/2009,989.7,980.6,991.2,980.6,,1.02%
19/08/2009,996.5,986.9,999.6,980.6,,0.69%
20/08/2009,"1,007.40",996.4,"1,008.90",996.4,,1.09%
21/08/2009,"1,026.10","1,009.10","1,027.60","1,009.10",,1.86%
24/08/2009,"1,025.60","1,026.60","1,035.80","1,022.50",,-0.05%
25/08/2009,"1,028.00","1,026.60","1,037.80","1,026.20",,0.23%
26/08/2009,"1,028.10","1,027.30","1,032.50","1,021.60",,0.01%
27/08/2009,"1,031.00","1,027.80","1,033.30","1,016.20",,0.28%
28/08/2009,"1,028.90","1,031.60","1,039.50","1,023.10",,-0.20%
31/08/2009,"1,020.60","1,025.20","1,025.20","1,014.60",,-0.81%
01/09/2009,998,"1,019.50","1,028.50",996.3,,-2.21%
02/09/2009,994.8,996.1,"1,000.30",992,,-0.32%
03/09/2009,"1,003.20",996.1,"1,003.40",992.2,,0.84%
04/09/2009,"1,016.40","1,003.80","1,016.50","1,001.60",,1.32%
08/09/2009,"1,025.40","1,018.70","1,026.10","1,018.70",,0.89%
09/09/2009,"1,033.40","1,025.40","1,036.30","1,024.00",,0.78%
10/09/2009,"1,044.10","1,033.00","1,044.10","1,028.00",,1.04%
11/09/2009,"1,042.70","1,043.90","1,048.20","1,038.40",,-0.13%
14/09/2009,"1,049.30","1,040.20","1,049.70","1,035.00",,0.63%
15/09/2009,"1,052.60","1,049.00","1,056.00","1,043.40",,0.31%
16/09/2009,"1,068.80","1,054.00","1,068.80","1,052.90",,1.54%
17/09/2009,"1,065.50","1,067.90","1,074.80","1,061.20",,-0.31%
18/09/2009,"1,068.30","1,066.60","1,071.50","1,064.30",,0.26%
21/09/2009,"1,064.70","1,067.10","1,067.30","1,057.50",,-0.34%
22/09/2009,"1,071.70","1,066.30","1,073.80","1,066.30",,0.66%
23/09/2009,"1,060.90","1,072.70","1,080.20","1,060.40",,-1.01%
24/09/2009,"1,050.80","1,062.60","1,066.30","1,045.80",,-0.95%
25/09/2009,"1,044.40","1,049.50","1,053.50","1,041.20",,-0.61%
28/09/2009,"1,063.00","1,045.40","1,065.10","1,045.40",,1.78%
29/09/2009,"1,060.60","1,063.70","1,069.60","1,057.80",,-0.23%
30/09/2009,"1,057.10","1,061.00","1,063.40","1,046.50",,-0.33%
01/10/2009,"1,029.80","1,054.90","1,054.90","1,029.50",,-2.58%
02/10/2009,"1,025.20","1,029.70","1,030.60","1,020.00",,-0.45%
05/10/2009,"1,040.50","1,026.90","1,042.60","1,025.90",,1.49%
06/10/2009,"1,054.70","1,042.00","1,060.50","1,042.00",,1.36%
07/10/2009,"1,057.60","1,053.70","1,058.00","1,050.10",,0.27%
08/10/2009,"1,065.50","1,060.00","1,070.70","1,060.00",,0.75%
09/10/2009,"1,071.50","1,065.30","1,071.50","1,063.00",,0.56%
12/10/2009,"1,076.20","1,071.60","1,079.50","1,071.60",,0.44%
13/10/2009,"1,073.20","1,075.00","1,075.30","1,066.70",,-0.28%
14/10/2009,"1,092.00","1,078.70","1,093.20","1,078.70",,1.75%
15/10/2009,"1,096.60","1,090.40","1,096.60","1,086.40",,0.42%
16/10/2009,"1,087.70","1,094.70","1,094.70","1,081.50",,-0.81%
19/10/2009,"1,097.90","1,088.20","1,100.20","1,086.50",,0.94%
20/10/2009,"1,091.10","1,098.60","1,098.60","1,086.20",,-0.62%
21/10/2009,"1,081.40","1,090.40","1,101.40","1,080.80",,-0.89%
22/10/2009,"1,092.90","1,081.00","1,095.20","1,074.30",,1.06%
23/10/2009,"1,079.60","1,095.60","1,095.80","1,075.50",,-1.22%
26/10/2009,"1,067.00","1,080.40","1,091.80","1,065.20",,-1.17%
27/10/2009,"1,063.40","1,067.50","1,072.50","1,060.60",,-0.34%
28/10/2009,"1,042.60","1,061.50","1,063.30","1,042.20",,-1.96%
29/10/2009,"1,066.10","1,043.70","1,066.80","1,043.70",,2.25%
30/10/2009,"1,036.20","1,065.40","1,065.40","1,033.40",,-2.80%
02/11/2009,"1,042.90","1,036.20","1,052.20","1,029.40",,0.65%
03/11/2009,"1,045.40","1,040.90","1,046.40","1,033.90",,0.24%
04/11/2009,"1,046.50","1,047.10","1,061.00","1,045.20",,0.11%
05/11/2009,"1,066.60","1,047.30","1,066.70","1,047.30",,1.92%
06/11/2009,"1,069.30","1,065.00","1,071.50","1,059.30",,0.25%
09/11/2009,"1,093.10","1,072.30","1,093.20","1,072.30",,2.23%
10/11/2009,"1,093.00","1,091.90","1,096.40","1,087.40",,-0.01%
11/11/2009,"1,098.50","1,096.00","1,105.40","1,093.80",,0.50%
12/11/2009,"1,087.20","1,098.30","1,102.00","1,084.90",,-1.03%
13/11/2009,"1,093.50","1,087.60","1,097.80","1,085.30",,0.58%
16/11/2009,"1,109.30","1,094.10","1,113.70","1,094.10",,1.44%
17/11/2009,"1,110.30","1,109.20","1,110.50","1,102.20",,0.09%
18/11/2009,"1,109.80","1,109.40","1,111.10","1,102.70",,-0.05%
19/11/2009,"1,094.90","1,106.40","1,106.40","1,088.40",,-1.34%
20/11/2009,"1,091.40","1,094.70","1,094.70","1,086.80",,-0.32%
23/11/2009,"1,106.20","1,094.90","1,112.40","1,094.90",,1.36%
24/11/2009,"1,105.70","1,105.80","1,107.60","1,097.60",,-0.05%
25/11/2009,"1,110.60","1,106.50","1,111.20","1,104.80",,0.44%
27/11/2009,"1,091.50","1,105.50","1,105.50","1,083.70",,-1.72%
30/11/2009,"1,095.60","1,091.10","1,097.20","1,086.20",,0.38%
01/12/2009,"1,108.90","1,098.90","1,112.30","1,098.90",,1.21%
